�sample,time_s,az_ms2
867,3.468000,-0.083199
868,3.472000,-0.006584
869,3.476000,-0.087987
870,3.480000,-0.052074
871,3.484000,0.117914
872,3.488000,-0.008978
873,3.492000,-0.030526
874,3.496000,0.019752
875,3.500000,0.012570
876,3.504000,-0.018555
877,3.508000,-0.008978
878,3.512000,-0.037709
879,3.516000,0.017358
880,3.520000,-0.011372
881,3.524000,0.029329
882,3.528000,0.062848
883,3.532000,0.065242
884,3.536000,-0.040103
885,3.540000,-0.028132
886,3.544000,-0.044891
887,3.548000,-0.035314
888,3.552000,0.048483
889,3.556000,-0.020949
890,3.560000,0.029329
891,3.564000,-0.052074
892,3.568000,-0.008978
893,3.572000,0.048483
894,3.576000,0.010175
895,3.580000,0.034117
896,3.584000,0.065242
897,3.588000,0.017358
898,3.592000,0.017358
899,3.596000,-0.071227
900,3.600000,0.000599
901,3.604000,0.029329
902,3.608000,-0.013767
903,3.612000,0.031723
904,3.616000,-0.054468
905,3.620000,-0.025738
906,3.624000,0.055665
907,3.628000,0.017358
908,3.632000,-0.030526
909,3.636000,0.014964
910,3.640000,-0.008978
911,3.644000,0.034117
912,3.648000,0.041300
913,3.652000,0.026935
914,3.656000,0.000599
915,3.660000,0.046088
916,3.664000,-0.056862
917,3.668000,-0.008978
918,3.672000,-0.028132
919,3.676000,0.058059
920,3.680000,0.019752
921,3.684000,-0.028132
922,3.688000,-0.037709
923,3.692000,0.012570
924,3.696000,0.070030
925,3.700000,-0.004190
926,3.704000,0.005387
927,3.708000,-0.030526
928,3.712000,0.002993
929,3.716000,0.098761
930,3.720000,-0.035314
931,3.724000,0.007781
932,3.728000,-0.023343
933,3.732000,0.017358
934,3.736000,-0.047285
935,3.740000,0.012570
936,3.744000,-0.025738
937,3.748000,0.034117
938,3.752000,-0.001796
939,3.756000,0.060454
940,3.760000,-0.011372
941,3.764000,-0.006584
942,3.768000,-0.054468
943,3.772000,-0.102352
944,3.776000,0.010175
945,3.780000,0.005387
946,3.784000,0.038906
947,3.788000,-0.076016
948,3.792000,0.002993
949,3.796000,0.007781
950,3.800000,0.029329
951,3.804000,0.034117
952,3.808000,0.019752
953,3.812000,0.012570
954,3.816000,-0.020949
955,3.820000,0.007781
956,3.824000,-0.011372
957,3.828000,-0.020949
958,3.832000,0.024541
959,3.836000,0.070030
960,3.840000,-0.006584
961,3.844000,0.000599
962,3.848000,0.024541
963,3.852000,-0.042497
964,3.856000,0.002993
965,3.860000,-0.032920
966,3.864000,0.022146
967,3.868000,-0.018555
968,3.872000,-0.080804
969,3.876000,-0.020949
970,3.880000,0.050877
971,3.884000,0.053271
972,3.888000,0.024541
973,3.892000,0.019752
974,3.896000,0.000599
975,3.900000,0.043694
976,3.904000,-0.064045
977,3.908000,0.012570
978,3.912000,-0.013767
979,3.916000,0.010175
980,3.920000,-0.044891
981,3.924000,-0.052074
982,3.928000,-0.035314
983,3.932000,0.002993
984,3.936000,0.055665
985,3.940000,0.002993
986,3.944000,-0.061651
987,3.948000,0.048483
988,3.952000,0.036512
989,3.956000,-0.016161
990,3.960000,0.089184
991,3.964000,-0.006584
992,3.968000,0.019752
993,3.972000,-0.008978
994,3.976000,-0.025738
995,3.980000,-0.025738
996,3.984000,0.036512
997,3.988000,0.002993
998,3.992000,-0.044891
999,3.996000,-0.047285
1000,4.000000,0.002993
1001,4.004000,0.000599
1002,4.008000,0.048483
1003,4.012000,-0.056862
1004,4.016000,0.041300
1005,4.020000,-0.049680
1006,4.024000,-0.006584
1007,4.028000,0.031723
1008,4.032000,0.010175
1009,4.036000,-0.008978
1010,4.040000,-0.049680
1011,4.044000,-0.006584
1012,4.048000,0.010175
1013,4.052000,0.065242
1014,4.056000,0.002993
1015,4.060000,-0.016161
1016,4.064000,-0.001796
1017,4.068000,-0.023343
1018,4.072000,-0.004190
1019,4.076000,0.034117
1020,4.080000,0.031723
1021,4.084000,0.024541
1022,4.088000,-0.004190
1023,4.092000,0.024541
1024,4.096000,0.000599
1025,4.100000,-0.061651
1026,4.104000,0.000599
1027,4.108000,0.014964
1028,4.112000,-0.004190
1029,4.116000,0.000599
1030,4.120000,0.072425
1031,4.124000,0.038906
1032,4.128000,-0.028132
1033,4.132000,-0.016161
1034,4.136000,-0.066439
1035,4.140000,0.031723
1036,4.144000,0.002993
1037,4.148000,0.017358
1038,4.152000,0.029329
1039,4.156000,-0.042497
1040,4.160000,0.070030
1041,4.164000,-0.028132
1042,4.168000,-0.006584
1043,4.172000,-0.037709
1044,4.176000,-0.004190
1045,4.180000,0.024541
1046,4.184000,0.034117
1047,4.188000,0.091578
1048,4.192000,0.014964
1049,4.196000,0.062848
1050,4.200000,-0.013767
1051,4.204000,-0.008978
1052,4.208000,-0.006584
1053,4.212000,-0.040103
1054,4.216000,-0.013767
1055,4.220000,0.031723
1056,4.224000,0.012570
1057,4.228000,0.055665
1058,4.232000,-0.004190
1059,4.236000,-0.092775
1060,4.240000,-0.037709
1061,4.244000,0.017358
1062,4.248000,-0.035314
1063,4.252000,0.029329
1064,4.256000,-0.061651
1065,4.260000,0.017358
1066,4.264000,-0.011372
1067,4.268000,0.005387
1068,4.272000,-0.020949
1069,4.276000,0.000599
1070,4.280000,0.010175
1071,4.284000,0.096367
1072,4.288000,0.024541
1073,4.292000,0.048483
1074,4.296000,-0.013767
1075,4.300000,-0.020949
1076,4.304000,0.019752
1077,4.308000,-0.040103
1078,4.312000,-0.011372
1079,4.316000,-0.018555
1080,4.320000,-0.025738
1081,4.324000,0.017358
1082,4.328000,0.007781
1083,4.332000,0.024541
1084,4.336000,0.022146
1085,4.340000,-0.025738
1086,4.344000,-0.001796
1087,4.348000,0.038906
1088,4.352000,0.050877
1089,4.356000,0.000599
1090,4.360000,0.017358
1091,4.364000,0.022146
1092,4.368000,0.007781
1093,4.372000,-0.023343
1094,4.376000,0.058059
1095,4.380000,0.007781
1096,4.384000,-0.059256
1097,4.388000,0.029329
1098,4.392000,0.022146
1099,4.396000,-0.047285
1100,4.400000,-0.008978
1101,4.404000,-0.008978
1102,4.408000,-0.011372
1103,4.412000,-0.001796
1104,4.416000,-0.032920
1105,4.420000,-0.066439
1106,4.424000,-0.011372
1107,4.428000,0.017358
