"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.106707850E-1,-1.928070188E-2,-8.095920086E-3,-1.450061798E-2,2.544714736E-2
9.153656280E-1,-1.916375756E-2,-1.039700210E-2,-1.449584961E-4,2.180294176E-2
9.200604720E-1,-3.562971950E-2,6.304144859E-3,2.595901489E-2,4.453189428E-2
9.247553160E-1,-2.579981089E-2,-2.696532011E-2,-9.850502014E-3,3.859781238E-2
9.294501600E-1,-2.557101846E-2,-1.721833646E-2,-1.214027405E-2,3.313207433E-2
9.341450030E-1,-8.789867163E-3,-3.371165693E-2,4.570007324E-3,3.513719603E-2
9.388398470E-1,-1.825028658E-2,-4.982754588E-3,2.157211304E-3,1.904086038E-2
9.435346910E-1,-2.757540345E-2,-7.312506437E-3,-4.978179932E-3,2.895959084E-2
9.482295350E-1,-3.450688720E-2,-2.531498671E-3,-4.938125610E-3,3.495023368E-2
9.529243780E-1,8.506923914E-3,-4.909902811E-3,2.221107483E-3,1.007016477E-2
9.576192220E-1,-8.188009262E-3,2.251267433E-3,-9.662628174E-3,1.286382851E-2
9.623140660E-1,-1.053529978E-2,-2.149379253E-2,-1.432800293E-2,2.789744302E-2
9.670089100E-1,3.775358200E-3,-1.659463346E-2,-4.717826843E-3,1.766049488E-2
9.717037530E-1,3.730565310E-3,-4.591256380E-3,9.558677673E-3,1.124122198E-2
9.763986490E-1,2.272510529E-2,7.341250777E-3,-2.383232117E-3,2.400008684E-2
9.810934930E-1,2.486652136E-2,-2.209842205E-3,-1.660156250E-2,2.998064650E-2
9.857883370E-1,8.034706116E-3,4.929736257E-3,9.637832642E-3,1.348134340E-2
9.904831810E-1,1.984649897E-2,2.489149570E-3,4.812240601E-3,2.057272579E-2
9.951780240E-1,1.729384065E-2,9.803473949E-5,-1.895618439E-2,2.565976348E-2
9.998728680E-1,3.849124908E-2,7.190153003E-3,-9.308815002E-3,4.024833653E-2
1.004567712E0,1.445546746E-2,1.409649849E-5,7.380485535E-3,1.623059780E-2
1.009262556E0,1.660880446E-2,9.564474225E-3,1.974105835E-4,1.916691222E-2
1.013957399E0,4.618674517E-3,2.612751722E-2,-1.641178131E-2,3.119817104E-2
1.018652243E0,1.642963290E-2,6.930127740E-3,5.080223083E-3,1.854098634E-2
1.023347087E0,6.814986467E-3,1.402176917E-2,2.164840698E-2,2.667784804E-2
1.028041931E0,1.143306494E-2,2.071246505E-3,1.096725464E-4,1.161968433E-2
1.032736774E0,2.087077498E-2,-2.716585994E-3,1.672077179E-2,2.688035151E-2
1.037431618E0,-3.019243479E-3,-2.689629793E-3,1.895523071E-2,1.938171073E-2
1.042126462E0,-1.961928606E-2,-1.455643773E-2,-1.679611206E-2,2.964651152E-2
1.046821306E0,-2.832323313E-3,1.166999340E-2,-9.537696838E-3,1.533552941E-2
1.051516149E0,-3.949403763E-4,-9.807094932E-3,-7.083892822E-3,1.210440525E-2
1.056211045E0,-7.497578859E-3,9.262025356E-3,-2.278327942E-3,1.213217131E-2
1.060905889E0,-2.168738842E-2,-3.032833338E-4,2.486228943E-3,2.183153984E-2
1.065600733E0,-1.914879680E-2,1.391173899E-2,-1.177310944E-2,2.643518501E-2
1.070295576E0,-1.185733080E-2,-9.957820177E-3,7.308959961E-3,1.712236468E-2
1.074990420E0,-2.598312497E-2,1.937463880E-3,1.673889160E-2,3.096880756E-2
1.079685264E0,-2.100810409E-2,1.925647259E-3,-9.501457214E-3,2.313711831E-2
1.084380108E0,-1.610168815E-2,6.629645824E-3,-1.416778564E-2,2.244866845E-2
1.089074951E0,-2.069896460E-2,-5.288407207E-3,-9.304046631E-3,2.330192417E-2
1.093769795E0,-2.760368586E-2,-4.669278860E-4,-4.478454590E-3,2.796851891E-2
1.098464639E0,-2.024066448E-2,-2.421845496E-2,-1.393222809E-2,3.450108750E-2
1.103159483E0,-1.299548149E-2,-2.659082413E-3,7.538795471E-3,1.525734891E-2
1.107854326E0,-1.049995422E-2,-1.924549043E-2,1.222324371E-2,2.510070970E-2
1.112549170E0,-7.997542620E-3,2.301558852E-3,-1.160717010E-2,1.428230580E-2
1.117244014E0,1.547306776E-3,-9.553119540E-3,5.100250244E-3,1.093932373E-2
1.121938858E0,-2.218118310E-2,9.484753013E-3,-4.433631897E-3,2.452799452E-2
1.126633701E0,4.063278437E-3,7.034420967E-3,-2.100849152E-2,2.252443175E-2
1.131328545E0,1.353475451E-2,-9.660080075E-3,5.269050598E-3,1.744332597E-2
1.136023389E0,2.289962769E-2,-2.459332347E-3,-4.265785217E-3,2.342302686E-2
1.140718285E0,2.981358767E-2,7.054299116E-3,-1.857757568E-3,3.069306776E-2
1.145413128E0,2.480438352E-2,-2.464354038E-3,-1.133441925E-2,2.738246779E-2
1.150107972E0,2.221092582E-2,-7.187977433E-3,-8.867263794E-3,2.497239701E-2
1.154802816E0,2.910128236E-2,7.084414363E-3,3.069877625E-3,3.010810041E-2
1.159497660E0,1.700758934E-2,1.177456975E-2,-1.119232178E-2,2.351949521E-2
1.164192503E0,2.399772406E-2,1.405273378E-2,5.512237549E-3,2.835057053E-2
1.168887347E0,2.615618706E-2,6.819486618E-3,-4.025459290E-3,2.732866337E-2
1.173582191E0,1.168653369E-2,1.148271561E-2,7.514953613E-4,1.640099304E-2
1.178277035E0,2.115035057E-2,1.850908995E-2,1.498508453E-2,3.185084769E-2
1.182971878E0,9.094715118E-3,1.361247897E-2,7.741928101E-3,1.810941406E-2
1.187666722E0,1.140505075E-2,4.039153457E-3,-1.812934875E-3,1.223424196E-2
1.192361566E0,-5.411505699E-4,1.115578413E-2,1.481246948E-2,1.855137773E-2
1.197056410E0,-1.004368067E-2,3.920257092E-3,1.468849182E-2,1.822074996E-2
1.201751253E0,-1.703715324E-2,-1.274740696E-2,3.290176392E-4,2.128072432E-2
1.206446097E0,-1.925539970E-2,1.572221518E-3,1.693725586E-2,2.569266304E-2
1.211140941E0,-4.872620106E-3,1.562535763E-3,1.850128174E-4,5.120368585E-3
1.215835785E0,-1.193740964E-2,2.053599060E-2,7.304191589E-3,2.485115437E-2
1.220530628E0,-3.320941329E-2,1.414343715E-3,1.673507690E-2,3.721462479E-2
1.225225472E0,-1.633742452E-2,8.496403694E-3,-9.507179260E-3,2.072406266E-2
1.229920316E0,-3.282648325E-2,1.282140613E-3,-1.417350769E-2,3.577862780E-2
1.234615212E0,-8.810847998E-3,1.274868846E-3,-4.563331604E-3,1.000401561E-2
1.239310056E0,-3.005242348E-2,-1.076087356E-3,2.594947815E-3,3.018343710E-2
1.244004899E0,-2.981698513E-2,-8.238777518E-3,-4.547119141E-3,3.126669714E-2
1.248699743E0,-2.478075027E-2,3.696814179E-3,-2.135276794E-3,2.514580335E-2
1.253394587E0,-4.119938612E-2,-8.166760206E-3,1.923751831E-2,4.619705077E-2
1.258089431E0,-1.239648461E-2,-8.067056537E-3,9.586334229E-3,1.762521024E-2
1.262784274E0,-1.939800382E-2,-9.068995714E-4,1.430511475E-5,1.941919729E-2
1.267479118E0,-2.682507038E-4,-3.240570426E-3,-7.102966309E-3,7.811874647E-3
1.272173962E0,4.465311766E-3,3.907591105E-3,9.566307068E-3,1.125710923E-2
1.276868806E0,1.150408387E-2,-3.171569109E-2,2.609634399E-2,4.265264560E-2
1.281563649E0,9.049683809E-3,-1.721249521E-2,9.268760681E-3,2.154243934E-2
1.286258493E0,2.325409651E-2,-1.706746221E-2,2.074241638E-3,2.891978127E-2
1.290953337E0,2.307465672E-2,-1.455076039E-2,1.154994965E-2,2.962373622E-2
1.295648181E0,8.630663157E-3,-1.448343694E-2,-9.905815125E-3,1.955462772E-2
1.300343024E0,2.281036973E-2,-7.270723581E-3,4.414558411E-3,2.434470609E-2
1.305037868E0,8.396804333E-3,9.459018707E-3,-9.858131409E-3,1.603627490E-2
1.309732712E0,2.023324370E-2,4.665166140E-3,1.158332825E-2,2.377648879E-2
1.314427556E0,2.954176068E-2,4.628807306E-3,-1.698780060E-2,3.439079601E-2
1.319122399E0,2.693647146E-2,1.173962653E-2,1.400184631E-2,3.254910177E-2
1.323817243E0,2.195125818E-2,1.876385510E-2,2.020835876E-3,2.894864024E-2
1.328512087E0,1.463526487E-2,9.118467569E-3,-9.860992432E-3,1.986395229E-2
1.333206983E0,1.690000296E-2,4.327461123E-3,1.632404327E-2,2.389165981E-2
1.337901826E0,7.309675217E-3,1.615832746E-2,-5.166053772E-3,1.847189784E-2
1.342596670E0,7.233768702E-3,2.549040318E-2,-1.224327087E-2,2.918879486E-2
1.347291514E0,1.190480590E-2,2.053472400E-2,-2.775192261E-4,2.373765595E-2
1.351986358E0,-1.196643710E-2,-1.048046350E-2,4.470825195E-3,1.652343820E-2
1.356681201E0,-9.452372789E-3,-1.038971543E-2,-3.118515015E-4,1.404958325E-2
1.361376045E0,-3.306153417E-2,-8.072853088E-4,-5.052566528E-3,3.345512187E-2
1.366070889E0,-2.333766222E-2,8.666172624E-3,4.479408264E-3,2.529454732E-2
